"Vervoerwijzen","Populatie","Reismotieven","Marges","Regio's","Perioden","Gemiddelde afstand per verplaatsing (reizigerskilometers)","Gemiddelde reisduur per verplaatsing (minuten)"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2018","18,96","25,61"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2019","19,00","25,85"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2020","16,33","23,14"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Nederland","2021","17,08","24,30"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2018","20,54","25,23"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2019","21,26","25,73"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2020","17,41","22,61"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Nederland (LD)","2021","18,05","23,50"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2018","19,67","25,25"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2019","19,73","25,64"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2020","17,19","23,26"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Oost-Nederland (LD)","2021","17,60","24,20"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2018","19,41","27,24"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2019","19,56","27,82"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2020","16,96","24,68"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","West-Nederland (LD)","2021","17,56","25,81"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Nederland (LD)","2018","16,79","23,19"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Nederland (LD)","2019","16,44","22,74"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Nederland (LD)","2020","14,05","20,75"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Nederland (LD)","2021","15,38","22,21"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Groningen (PV)","2018","18,91","24,98"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Groningen (PV)","2019","22,05","27,20"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Groningen (PV)","2020","17,88","23,95"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Groningen (PV)","2021","18,06","24,29"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Frysl창n (PV)","2018","21,70","25,34"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Frysl창n (PV)","2019","23,46","27,03"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Frysl창n (PV)","2020","18,64","22,91"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Frysl창n (PV)","2021","19,13","23,38"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Drenthe (PV)","2018","20,68","25,31"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Drenthe (PV)","2019","18,13","22,98"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Drenthe (PV)","2020","15,33","20,89"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Drenthe (PV)","2021","16,70","22,83"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Overijssel (PV)","2018","18,85","24,22"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Overijssel (PV)","2019","18,76","25,22"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Overijssel (PV)","2020","16,16","22,91"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Overijssel (PV)","2021","17,09","23,69"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Flevoland (PV)","2018","23,07","27,36"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Flevoland (PV)","2019","21,48","26,01"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Flevoland (PV)","2020","20,09","23,66"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Flevoland (PV)","2021","20,59","25,36"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Gelderland (PV)","2018","19,49","25,44"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Gelderland (PV)","2019","19,90","25,79"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Gelderland (PV)","2020","17,19","23,38"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Gelderland (PV)","2021","17,35","24,28"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Utrecht (PV)","2018","20,62","26,49"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Utrecht (PV)","2019","22,39","28,93"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Utrecht (PV)","2020","18,75","25,27"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Utrecht (PV)","2021","18,68","25,42"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Holland (PV)","2018","20,37","28,25"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Holland (PV)","2019","19,67","28,46"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Holland (PV)","2020","16,01","23,84"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Holland (PV)","2021","17,89","26,58"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Holland (PV)","2018","18,41","27,35"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Holland (PV)","2019","18,33","27,24"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Holland (PV)","2020","17,11","25,51"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zuid-Holland (PV)","2021","16,63","25,60"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeeland (PV)","2018","18,42","22,68"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeeland (PV)","2019","20,31","25,49"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeeland (PV)","2020","15,99","21,47"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeeland (PV)","2021","19,43","24,37"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Brabant (PV)","2018","17,88","24,35"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Brabant (PV)","2019","17,59","23,80"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Brabant (PV)","2020","14,45","21,06"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Noord-Brabant (PV)","2021","15,74","22,76"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Limburg (PV)","2018","14,47","20,71"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Limburg (PV)","2019","13,96","20,46"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Limburg (PV)","2020","13,22","20,10"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Limburg (PV)","2021","14,55","20,96"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeer sterk stedelijk","2018","20,49","29,54"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeer sterk stedelijk","2019","20,05","29,28"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeer sterk stedelijk","2020","17,84","26,83"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Zeer sterk stedelijk","2021","17,91","27,55"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Sterk stedelijk","2018","19,17","25,86"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Sterk stedelijk","2019","18,85","25,93"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Sterk stedelijk","2020","16,50","23,55"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Sterk stedelijk","2021","17,03","24,43"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Matig stedelijk","2018","17,56","23,97"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Matig stedelijk","2019","18,39","24,94"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Matig stedelijk","2020","15,26","21,64"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Matig stedelijk","2021","16,26","23,31"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Weinig stedelijk","2018","18,76","24,48"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Weinig stedelijk","2019","18,47","24,28"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Weinig stedelijk","2020","15,74","21,76"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Weinig stedelijk","2021","16,38","22,80"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Niet stedelijk","2018","18,79","24,04"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Niet stedelijk","2019","20,22","25,66"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Niet stedelijk","2020","16,82","22,25"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Waarde","Niet stedelijk","2021","19,36","24,19"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2018","18,60","25,26"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2019","18,60","25,46"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2020","15,99","22,80"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Nederland","2021","16,73","23,94"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2018","19,31","24,10"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2019","19,71","24,35"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2020","16,18","21,44"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Noord-Nederland (LD)","2021","16,84","22,36"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2018","18,92","24,58"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2019","18,81","24,79"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2020","16,44","22,52"
"Personenauto (bestuurder)","Populatie: 6 jaar of ouder","Totaal","Ondergrens 95%-interval","Oost-Nederland (LD)","2021","16,84","23,38"
"Bron: CBS."