"Energiedragers","Sectoren","Perioden","Opbouw vanuit aanbod Totaal aanbod (PJ)","Winning (PJ)","Energie-aanvoer (PJ)","Energie-aflevering (-) (PJ)","Voorraadmutatie (PJ)","Statistische verschillen (PJ)","Opbouw vanuit verbruik Totaal verbruik (PJ)","Opbouw vanuit verbruik Energieomzetting
Saldo inzet-productie energie (PJ)","Opbouw vanuit verbruik Eigen verbruik (PJ)","Verliezen bij distributie (PJ)","Finaal energieverbruik (PJ)","Niet-energetisch gebruik (PJ)"
"Totaal energiedragers","Totaal energiesector en eindgebruikers","2021**","3.031,5","1.131,7","18.945,1","17.520,9","464,3","11,4","3.020,1","457,2","205,4","25,9","1.795,3","536,2"
"Totaal energiedragers","Totaal energiesector","2021**","568,0","826,4","8.231,5","8.766,4","276,5","","568,0","341,5","200,5","25,9","",""
"Totaal energiedragers","Totaal eindgebruikers van energie","2021**","2.452,1","305,2","10.713,6","8.754,5","187,8","","2.452,1","115,7","4,9","","1.795,3","536,2"
"Totaal kool en koolproducten","Totaal energiesector en eindgebruikers","2021**","234,1","","399,2","166,1","1,0","","234,1","200,5","18,4","","13,3","2,0"
"Totaal kool en koolproducten","Totaal energiesector","2021**","216,4","","308,2","96,3","4,5","","216,4","198,0","18,4","","",""
"Totaal kool en koolproducten","Totaal eindgebruikers van energie","2021**","17,7","","91,0","69,8","-3,5","","17,7","2,4","","","13,3","2,0"
"Totaal aardoliegrondstoffen en producten","Totaal energiesector en eindgebruikers","2021**","1.102,5","65,3","12.415,9","11.653,6","274,9","0,0","1.102,5","38,0","98,3","","543,2","423,0"
"Totaal aardoliegrondstoffen en producten","Totaal energiesector","2021**","129,7","38,1","3.987,7","3.980,3","84,3","","129,7","31,4","98,3","","",""
"Totaal aardoliegrondstoffen en producten","Totaal eindgebruikers van energie","2021**","972,8","27,2","8.428,2","7.673,3","190,6","","972,8","6,6","","","543,2","423,0"
"Aardgas","Totaal energiesector en eindgebruikers","2021**","1.261,9","649,6","4.715,5","4.300,3","191,4","5,8","1.256,1","481,5","41,4","","622,0","111,2"
"Aardgas","Totaal energiesector","2021**","338,9","649,6","3.470,6","3.968,8","187,4","","338,8","297,4","41,4","","",""
"Aardgas","Totaal eindgebruikers van energie","2021**","917,3","","1.244,8","331,6","4,0","","917,3","184,1","","","622,0","111,2"
"Totaal hernieuwbare energie","Totaal energiesector en eindgebruikers","2021**","344,3","333,1","572,4","558,2","-3,1","0,2","344,1","291,5","","","52,6",""
"Totaal hernieuwbare energie","Totaal energiesector","2021**","152,1","100,2","67,5","15,8","0,2","","152,1","152,1","","","",""
"Totaal hernieuwbare energie","Totaal eindgebruikers van energie","2021**","192,0","232,8","504,9","542,4","-3,3","","192,0","139,4","","","52,6",""
"Elektriciteit","Totaal energiesector en eindgebruikers","2021**","0,9","","709,8","714,3","","5,4","-4,5","-439,7","32,1","17,3","385,8",""
"Elektriciteit","Totaal energiesector","2021**","-267,6","","358,4","626,0","","","-267,6","-312,1","27,2","17,3","",""
"Elektriciteit","Totaal eindgebruikers van energie","2021**","263,1","","351,4","88,3","","","263,1","-127,6","4,9","","385,8",""
"Warmte","Totaal energiesector en eindgebruikers","2021**","","","127,5","127,5","","","","-202,1","15,2","8,6","178,3",""
"Warmte","Totaal energiesector","2021**","-40,0","","39,1","79,1","","","-40,0","-63,8","15,2","8,6","",""
"Warmte","Totaal eindgebruikers van energie","2021**","40,0","","88,4","48,3","","","40,0","-138,3","","","178,3",""
"Totaal overige energiedragers","Totaal energiesector en eindgebruikers","2021**","87,7","83,7","4,8","0,9","","","87,7","87,6","","","0,1",""
"Totaal overige energiedragers","Totaal energiesector","2021**","38,6","38,6","","","","","38,6","38,6","","","",""
"Totaal overige energiedragers","Totaal eindgebruikers van energie","2021**","49,1","45,2","4,8","0,9","","","49,1","49,0","","","0,1",""
"Bron: CBS."